Marca,Desc_Producto,Precio,URL_Producto,
Intel," E8500 - Core 2 Duo Wolfdale Dual-Core 3.167 GHz LGA 775 65W Desktop Processor - AT80570PJ0876M"," 14"," https://www.newegg.com/intel-core-2-duo-e8500/p/N82E16819117320",
Intel," Core 2 Duo E6600 - Core 2 Duo Conroe Dual-Core 2.4 GHz LGA 775 Desktop Processor - SL9S8"," 16"," https://www.newegg.com/intel-core-2-duo-e6600/p/N82E16819116791",
Intel," Core 2 Quad Q6600 - Core 2 Quad Kentsfield Quad-Core 2.4 GHz LGA 775 100W Desktop Processor - Q6600 (SLACR)"," 20"," https://www.newegg.com/intel-core-2-quad-q6600/p/N82E16819116429",
Intel," Core i5-2500 - Core i5 2nd Gen Sandy Bridge Quad-Core 3.3GHz (3.7GHz Turbo Boost) LGA 1155 95W Intel HD Graphics 2000 Desktop Processor - BX80623I52500"," 24"," https://www.newegg.com/intel-core-i5-2nd-gen-core-i5-2500/p/N82E16819115073",
Rosewill," ROCC-16003 - High Performance CPU Cooler with Silent 92mm PWM Fan & 3 Direct Contact Heatpipe"," 29"," https://www.newegg.com/rosewill-rocc-16003/p/N82E16835200114?Description=CPU&cm_re=CPU-_-35-200-114-_-Product",
Vetroo," V5 Black CPU Air Cooler w/ 5 Heat Pipes 120mm PWM Processor 150W TDP Cooler for Intel LGA 1700/1200/115X AMD Ryzen AM4 Socket w/Addressable RGB Sync"," 34"," https://www.newegg.com/vetroo-v5/p/13C-00F3-00002?Description=CPU&cm_re=CPU-_-13C-00F3-00002-_-Product",
Cooler," Master MasterAir MA610P ARGB CPU Air Cooler| 6 Heat Pipes| Aluminum Fins| Push-Pull Dual SickleFlow ARGB Fans for AMD Ryzen/Intel 1200/1151"," 87"," https://www.newegg.com/p/13C-010G-00001?Item=9SIB5DBHHR5466&Description=CPU&cm_re=CPU-_-9SIB5DBHHR5466-_-Product&cm_sp=SP-_-1084220-_-0-_-2-_-9SIB5DBHHR5466-_-CPU-_-cpu-_-3",
ZALMAN," CNPS10X Optima II Ultra Quiet CPU Cooler| 120mm PWM RGB LED Dual Blade Fan| w/White frame design| 4 heat pipes"," NA"," https://www.newegg.com/zalman-amd-am4-compatible-cnps10x-optima-ii/p/13C-0007-001H9?Item=9SIABW996R3869&Description=CPU&cm_re=CPU-_-9SIABW996R3869-_-Product&cm_sp=SP-_-700050-_-0-_-2-_-9SIABW996R3869-_-CPU-_-cpu-_-4",
1," PCS CPU Cooler Desktop Computer CPU Fan CPU Air Cooler Silent Radiator Fan Air Cooling For Intel/AMD CPUs (Multicolor Light)"," 14"," https://www.newegg.com/p/13C-00XG-00013?Item=9SIB30TFRJ0633&Description=CPU&cm_re=CPU-_-9SIB30TFRJ0633-_-Product&cm_sp=SP-_-967946-_-0-_-2-_-9SIB30TFRJ0633-_-CPU-_-cpu-_-5",
JONSBO," CR1400 COLOR CPU Cooler H126mm | Air Cooling Tower Radiator | Desktop PC AM4 heatsink| 4 Copper Heatpipes for AMD /Intel LGA1700/1200/115X |  92mm RGB Fan|  Auto RGB Lighting on Top| Black"," 29"," https://www.newegg.com/jonsbo-cr1400-color-air-cooler-series/p/2RM-00A4-00003?Description=CPU&cm_re=CPU-_-2RM-00A4-00003-_-Product",
JONSBO," CR1000 GT CPU Cooler | 5V Addressable RGB Computer Air Cooler CPU Heatsink| H:158mm|  4 Copper Heatpipes AMD Ryzen/Intel LGA115X | 120mm PWM Fan with Detachable Fan blade| Lighting Top| Black"," 25"," https://www.newegg.com/jonsbo-cr1000-gt-air-cooler-series/p/2RM-00A4-00008?Description=CPU&cm_re=CPU-_-2RM-00A4-00008-_-Product",
