Marca,Desc_Producto,Precio
ASUS, ROG Crosshair VIII Dark Hero AM4 AMD X570S SATA 6Gb/s ATX AMD Motherboard, 449
ASRock, B550 TAICHI AM4 ATX AMD Motherboard, 219
MSI, MPG X570 GAMING EDGE WIFI AM4 ATX AMD Motherboard, 109
MSI, MPG X570S CARBON MAX WIFI AM4 ATX AMD Motherboard, 319
MSI, MPG Z590 GAMING FORCE LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard, 239
ASUS, PRIME B550-PLUS AM4 AMD B550 SATA 6Gb/s USB 3.0 HDMI ATX AMD Motherboard, 136
KingSpec, Half size mSATA 256GB SSD Mini SATA Internal Solid State Drive For tablet laptop For Industrial motherboard, 49
KingSpec, Half size mSATA 128GB SSD Mini SATA Internal Solid State Drive For tablet laptop For Industrial motherboard, 33
ASUS, TUF Gaming X570-PRO (WiFi 6) AMD AM4 (3rd Gen Ryzen ATX Gaming Motherboard (PCIe 4.0| 2.5Gb LAN| BIOS Flashback| HDMI| USB 3.2 Gen 2| Addressable Gen 2 RGB Header and Aura Sync), 227
ASUS, TUF Gaming Z690-Plus WiFi D4 LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0| DDR4| 4xM.2/NVMe SSD| 14+2 Power Stages| WiFi 6| Intel 2.5Gb LAN, 289
GIGABYTE, X570 AORUS ELITE WIFI AM4 AMD X570 SATA 6Gb/s ATX AMD Motherboard, NA
ASUS, AM4 TUF Gaming X570-Plus (Wi-Fi) ATX Motherboard with PCIe 4.0| Dual M.2| 12+2 with Dr. MOS Power Stage| HDMI| DP| SATA 6Gb/s| USB 3.2 Gen 2 and Aura Sync RGB Lighting, 170
ASUS, ROG Strix B550-F Gaming (WiFi 6) AMD AM4 (3rd Gen Ryzen) ATX Gaming Motherboard (PCIe 4.0| 2.5Gb LAN| BIOS FlashBack| HDMI 2.1| Addressable Gen 2 RGB Header and AURA Sync), 209
GIGABYTE, B550 AORUS ELITE AM4 AMD B550 ATX Motherboard with Dual M.2| SATA 6Gb/s| USB 3.2 Gen 2| 2.5 GbE LAN| PCIe 4.0, 139
DAYLEAD, Mining Rig Case 8 GPU Mining Case Support 8 Cooling Fans(4 Preinstalled) and Mining Motherboard (Without GPU| PSU) for BTC/ETH/ZEC GPU Mining Rig, 579
LISM, X99 S3 Gaming Motherboard LGA2011 V3 Support Intel XEON E5 DDR4 ECC REG Memory NVME USB3.0 ATX Server Support Turbo boost, 189
Festtive, Knight DDR4 32GB (2x16GB) 2666MHz PC4-21300 Desktop DRAM with Heat Spreader CL19 Unbuffered Non-ECC1.2V 288 Pin U-DIMM Desktop Memory for Intel AMD Motherboard, 124
ASUS, PRIME B450M-K AM4 AMD B450 SATA 6Gb/s USB 3.1 Micro ATX AMD Motherboard, 129
ASUS, Prime X570-P Ryzen 3 AM4 with PCIe Gen4| Dual M.2 HDMI| SATA 6Gb/s USB 3.2 Gen 2 ATX Motherboard, 155
MSI, PRO B550-A PRO AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard, 130
ASUS, TUF GAMING B550-PRO AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard and AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W Desktop Processor - 100-100000065BOX, 389
ASUS, Prime X570-P Ryzen 3 AM4 with PCIe Gen4 Dual M.2 HDMI SATA 6Gb/s USB 3.2 Gen 2 ATX Motherboard and AMD Ryzen 5 5600X - Ryzen 5 5000 Series Vermeer (Zen 3) 6-Core 3.7 GHz Socket AM4 65W Desktop Processor - 100-100000065BOX, 360
X99, LGA 2011 V3 Motherboard with 4pcs DDR4 RAM PCIE 16X and SSD M.2 Support Xeon E5 2620 2650 2678 V3 V4 Mother Board 2011, 119
B75M, Desktop Motherboard B75 LGA 1155 for i3 i5 i7 CPU Support DDR33 Memory 3*USB 3.0 SATA 3.0 Up to 16GB, 94
GIGABYTE, B550 AORUS PRO AC AM4 AMD B550 ATX Motherboard with Dual M.2| SATA 6Gb/s| USB 3.2 Gen 2| Intel 802.11ac| 2.5 GbE LAN| PCIe 4.0, 199
ASUS, TUF GAMING B550-PRO AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard and AMD Ryzen 7 5800X - Ryzen 7 5000 Series Vermeer (Zen 3) 8-Core 3.8 GHz Socket AM4 105W Desktop Processor - 100-100000063WOF, 518
ASUS, ROG Crosshair VIII Dark Hero AM4 AMD X570S SATA 6Gb/s ATX AMD Motherboard, 449
ASUS, ROG STRIX Z590-E GAMING WIFI LGA 1200 Intel Z590 SATA 6Gb/s ATX Intel Motherboard, 299
GIGABYTE, Z590 AORUS ELITE AX LGA 1200 Intel Z590 ATX Motherboard with Triple M.2| PCIe 4.0| USB 3.2 Gen2X2 Type-C| Intel WIFI 6| 2.5GbE LAN, 182
ASUS, ROG STRIX B550-F GAMING AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard, 188
ASUS, ROG STRIX B550-A GAMING AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard, 168
ASUS, Prime Z690-P D4 LGA 1700 Intel 12th Gen ATX Motherboard- PCIe 5.0| DDR4| 14+1 Power Stages| 3x M.2| 2.5Gb LAN| V-M.2 e-key| Front Panel USB 3.2 Gen 1 USB Type-C| Thunderbolt 4 Support| Arua Sync, 209
ASUS, ROG Maximus Z690 Hero (WiFi 6E) LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0| DDR5| 20+1 90A Power Stages| 2.5Gb LAN| Bluetooth V5.2| 2x Thunderbolt 4 ports| 5xM.2/NVMe SSD, 599
ASUS, ROG Strix Z690-A Gaming WiFi D4 LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0| DDR4| 16+1 Power Stages| WiFi 6| Intel 2.5 Gb LAN| Bluetooth v5.2| Thunderbolt 4| 4xM.2/NVMe SSD, 347
ASUS, ROG Strix Z690-E Gaming WiFi 6E LGA 1700 Intel 12th Gen ATX Gaming Motherboard- PCIe 5.0| DDR5| 18+1 Power Stages| 2.5 Gb LAN| Bluetooth v5.2, 429
ASUS, Prime X570-Pro Ryzen 3 AM4 with PCIe Gen4| Dual M.2| HDMI| SATA 6Gb/s USB 3.2 Gen 2 ATX Motherboard, NA
ASUS, ROG STRIX X570-E GAMING WIFI II AM4 AMD X570 SATA 6Gb/s USB 3.0 HDMI ATX AMD Motherboard, 379
ASUS, Prime Z690-A LGA 1700 Intel 12th ATX Motherboard- 16+1 DrMOS| PCIe 5.0| DDR5| 4x M.2| Intel 2.5 Gb LAN| USB 3.2 Gen 2 Front Panel Type-C| Thunderbolt 4| Aura Sync RGB Lighting, 279
MSI, MAG B550 TOMAHAWK AM4 AMD B550 SATA 6Gb/s ATX AMD Motherboard, 155
