Marca,Desc_Producto,Precio,URL_Producto
CORSAIR, Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model CMW16GX4M2D3600C18, 89, https://www.newegg.com/corsair-16gb-288-pin-ddr4-sdram/p/N82E16820236551
CORSAIR, Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMK16GX4M2B3200C16, 65, https://www.newegg.com/corsair-16gb-288-pin-ddr4-sdram/p/N82E16820233859
G.SKILL, TridentZ RGB Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model F4-3200C16D-16GTZR, 82, https://www.newegg.com/g-skill-16gb-288-pin-ddr4-sdram/p/N82E16820232476
G.SKILL, Ripjaws V Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Desktop Memory Model F4-3200C16D-16GVKB, 66, https://www.newegg.com/g-skill-16gb-288-pin-ddr4-sdram/p/N82E16820231941
LEVEN, SINBA 32GB (16GBx2) DDR4 3200MHz PC4-25600 288-Pin U-DIMM CL16 XMP2.0 Overclocking Gaming RAM Desktop Memory Module- Gray (JROC4U3200172408G-16Mx2), 102, https://www.newegg.com/p/0RN-00ZG-00020?Description=RAM&cm_re=RAM-_-9SIAWA4DWD4274-_-Product
CORSAIR, Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model CMW16GX4M2D3600C18, 89, https://www.newegg.com/corsair-16gb-288-pin-ddr4-sdram/p/N82E16820236551?Description=RAM&cm_re=RAM-_-20-236-551-_-Product
Festtive, Knight DDR4 32GB (2x16GB) 3200MHz PC4-25600 Desktop DRAM with Heat Spreader CL19 Unbuffered Non-ECC1.2V 288 Pin U-DIMM Desktop Memory Overclocking RAM for Intel AMD System, 134, https://www.newegg.com/festtive-32gb-288-pin-ddr4-sdram/p/0RN-013Y-00015?Item=9SIAS7EHVZ4100&Description=RAM&cm_re=RAM-_-9SIAS7EHVZ4100-_-Product&cm_sp=SP-_-1044353-_-0-_-0-_-9SIAS7EHVZ4100-_-RAM-_-ram-_-3
Festtive, AMD RAM 8GB DDR3 Memory 1600 MHz AMD Edition Memory DDR3 1600 (PC3 12800) Desktop Memory Model Only for AMD Desktop, 29, https://www.newegg.com/festtive-8gb-240-pin-ddr3-sdram/p/0RN-013Y-00002?Item=9SIAS7EHUW0734&Description=RAM&cm_re=RAM-_-9SIAS7EHUW0734-_-Product&cm_sp=SP-_-1044503-_-0-_-2-_-9SIAS7EHUW0734-_-RAM-_-ram-_-4
Festtive, Knight DDR4 16GB (2x8GB) 3200MHz PC4-25600 Desktop DRAM with Heat Spreader CL19 Unbuffered Non-ECC1.2V 288 Pin U-DIMM Desktop Memory Overclocking RAM for Intel AMD System, 69, https://www.newegg.com/festtive-16gb-288-pin-ddr4-sdram/p/0RN-013Y-00014?Item=9SIAS7EHVZ0421&Description=RAM&cm_re=RAM-_-9SIAS7EHVZ0421-_-Product&cm_sp=SP-_-1044334-_-0-_-2-_-9SIAS7EHVZ0421-_-RAM-_-ram-_-5
Festtive, 8GB 240-Pin DDR3 SDRAM 1600MHZ (PC3 12800) Desktop Memory Unbuffered DIMM 1.5V CAS Latency 11 for Intel and AMD System Desktop Computer, 30, https://www.newegg.com/festtive-8gb-240-pin-ddr3-sdram/p/0RN-013Y-00019?Item=9SIAS7EHWH1764&Description=RAM&cm_re=RAM-_-9SIAS7EHWH1764-_-Product&cm_sp=SP-_-1044503-_-0-_-3-_-9SIAS7EHWH1764-_-RAM-_-ram-_-6
CORSAIR, Vengeance RGB Pro 32GB (2 x 16GB) 288-Pin DDR4 SDRAM DDR4 3600 (PC4 28800) Intel XMP 2.0 Desktop Memory Model CMW32GX4M2D3600C18, 145, https://www.newegg.com/corsair-32gb-288-pin-ddr4-sdram/p/N82E16820236607?Description=RAM&cm_re=RAM-_-20-236-607-_-Product
CORSAIR, Vengeance RGB Pro 16GB (2 x 8GB) 288-Pin DDR4 DRAM DDR4 3200 (PC4 25600) Desktop Memory Model CMW16GX4M2C3200C16, 84, https://www.newegg.com/corsair-16gb-288-pin-ddr4-sdram/p/N82E16820236417?Description=RAM&cm_re=RAM-_-20-236-417-_-Product
CORSAIR, Vengeance LPX 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model CMK16GX4M2B3200C16, 65, https://www.newegg.com/corsair-16gb-288-pin-ddr4-sdram/p/N82E16820233859?Description=RAM&cm_re=RAM-_-20-233-859-_-Product
G.SKILL, TridentZ RGB Series 16GB (2 x 8GB) 288-Pin DDR4 SDRAM DDR4 3200 (PC4 25600) Intel XMP 2.0 Desktop Memory Model F4-3200C16D-16GTZR, 82, https://www.newegg.com/g-skill-16gb-288-pin-ddr4-sdram/p/N82E16820232476?Description=RAM&cm_re=RAM-_-20-232-476-_-Product
DATARAM, 16GB (2 x 8GB) 240-Pin DDR3 SDRAM ECC Unbuffered DDR3L 1600 (PC3L 12800) Memory RAM with, 150, https://www.newegg.com/p/0RN-001V-00258?Item=9SIA575E0F5412&Description=RAM&cm_re=RAM-_-9SIA575E0F5412-_-Product&cm_sp=SP-_-731995-_-0-_-2-_-9SIA575E0F5412-_-RAM-_-ram-_-11
Heoriady, DDR4 RAM 8GB Knight ASUS AURA SYNC RGB 2400mHZ PC4-19200 288-Pin Desktop 1.2V Gaming UDIMM with Heatsink, 58, https://www.newegg.com/heoriady-8gb-288-pin-ddr4-sdram/p/0RN-00XC-00028?Item=9SIASR8D3F6156&Description=RAM&cm_re=RAM-_-9SIASR8D3F6156-_-Product&cm_sp=SP-_-1078295-_-0-_-2-_-9SIASR8D3F6156-_-RAM-_-ram-_-12
